小区名称,地址,均价(元/平),在售套数,建成年代,开发商,物业公司,物业费,容积率,绿化率,车位比,总户数,建筑类型,经度,纬度,POI数
松园小区,科教街,3050.0,0,2004,单位自建,业主自管,0.8,2.0,30.0,450(1:4.9),92,"[""多层"", ""高层""]",108.088581,34.263641,25
怡园小区(杨凌),柳林路,3000.0,0,2020,咸阳恒远置业有限公司,业主自管,0.8,1.2,30.0,78(1:1.1),72,"[""多层""]",108.067752,34.272442,26
省饲料厂家属楼(杨凌),公园路,3000.0,0,2014,单位自建,业主自管,0.5,1.2,30.0,1(1:0.0),50,"[""多层""]",108.08173,34.275523,25
银鑫雅景阁,康乐路70号,3000.0,0,2003,单位自建,业主自管,0.9,2.5,30.0,,72,"[""高层""]",108.081608,34.27143,25
东苑南区,五湖路,2950.0,0,1997,单位自建,业主自管,0.5,1.2,20.0,89(1:0.1),644,"[""多层""]",108.087799,34.256633,24
邰北小区2期,孟杨路,2900.0,2,2004,单位自建,业主自管,0.5,2.5,30.0,56(1:0.0),1632,"[""高层""]",108.108667,34.263776,12
公园路计委家属楼,公园路,2900.0,0,,暂无,暂无,,,,,,"[""多层""]",108.084112,34.273382,25
邰苑公寓,神农路,2900.0,0,2011,单位自建,业主自管,0.5,1.2,30.0,,81,"[""多层""]",108.091405,34.258367,24
林苑小区(杨陵),邰城路,2900.0,0,2004,单位自建,业主自管,0.8,2.5,30.0,789(1:1.4),568,"[""高层""]",108.077106,34.261959,26
法禧家园,有邰路,2850.0,1,1994,单位自建,业主自管,0.9,2.5,20.0,,1296,"[""高层""]",108.058572,34.25114,13
邰北小区1期,神农路,2800.0,0,2001,单位自建,业主自管,0.5,2.5,30.0,56(1:0.0),1392,"[""高层""]",108.108748,34.260573,13
信用社家属院,康乐路18号,2750.0,0,1998,单位自建,业主自管,0.5,1.2,20.0,,30,"[""多层""]",108.083188,34.272422,25
植物所住宅区(杨凌),康乐路,2750.0,0,2013,单位自建,业主自管,0.5,1.2,30.0,76(1:0.4),214,"[""多层""]",108.075322,34.272887,24
曦鹏盛世,公园路,2700.0,3,2012,单位自建,业主自管,0.8,2.0,30.0,25(1:0.1),248,"[""多层"", ""高层""]",108.087498,34.273211,26
家美园,邰城路,2700.0,3,2004,单位自建,业主自管,0.5,1.2,30.0,550(1:4.6),120,"[""多层""]",108.076094,34.259,25
常乐园小区,农科路,2700.0,0,,暂无,暂无,,,,,,"[""多层""]",108.059795,34.271389,23
