community_id,name,address,year_built,developer,property_mgmt,property_fee,floor_area_ratio,green_ratio,parking_ratio,total_units,building_types,unit_sizes,avg_price,listing_count,features,coordinate_lng,coordinate_lat,data_source,data_updated,region_id
chengdu_wenjiang_1444773,航天路20号院,工温江 - 温江城区 - 航天路20号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,1998,,,,,,,,,,4400.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1547992,航天路自建房,,,,,,,,,,,,3150.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_913493,艺苑,工温江 - 万春镇 - 星艺大道300号 近地铁 近学校 第一绕城第二绕城高速之间,2016,,,,,,,,,,8168.0,5,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1231794,芙蓉古城云南区,工温江 - 永宁镇 - 芙蓉路333号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多,2003,,,,,,,,,,9400.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1231791,芙蓉古城唐风区,工温江 - 永宁镇 - 芙蓉路333号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多绿化好配套齐全,2003,,,,,,,,,,7700.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1475837,芙蓉古城川西区,工温江 - 永宁镇 - 芙蓉路333号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多,2003,,,,,,,,,,8500.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1477271,芙蓉古城紫宸园,工温江 - 永宁镇 - 芙蓉路333号 近地铁 近学校 第一绕城第二绕城高速之间别墅绿化好配套齐全,2009,,,,,,,,,,18300.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_656852,芙蓉古城芝田居,工温江 - 公平镇 - 芙蓉路88号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多别墅绿化好,2003,,,,,,,,,,13700.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1231784,芙蓉古城苏州区,工温江 - 永宁镇 - 芙蓉路333号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多,2003,,,,,,,,,,8200.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_452781,芙蓉水居,工温江 - 永宁镇 - 开金路188号 近地铁 近学校 第一绕城第二绕城高速之间,2007,,,,,,,,,,3475.0,14,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_528450,芙蓉田园,工温江 - 永宁镇 - 康安路366号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多,2015,,,,,,,,,,8641.0,29,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_141024,芙蓉花开,工温江 - 公平镇 - 永文路南段1052号 近地铁 近学校 第一绕城第二绕城高速之间,2005,,,,,,,,,,8045.0,6,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_369342,芙蓉锦绣,工温江 - 公平镇 - 芙蓉路 近地铁 近学校 第一绕城第二绕城高速之间大户型居多别墅绿化好,2009,,,,,,,,,,12347.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1231712,芙蓉馨苑,工温江 - 永宁镇 - 白桦街180号 近地铁 近学校 第一绕城第二绕城高速之间,2000,,,,,,,,,,4200.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_444584,花乡民居,工温江 - 温江城区 - 天乡路一段2366号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多,2014,,,,,,,,,,6758.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_859631,花土E区,工温江 - 温江城区 - 共和路169号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多配套齐全,2018,,,,,,,,,,4675.0,19,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1857313,花土F区,,,,,,,,,,,,4687.0,5,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_187656,花样年花样城(1-4期),工温江 - 金马镇 - 温泉大道三段399号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多,2015,,,,,,,,,,7371.0,107,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_797138,花样年花样城(五期),工温江 - 金马镇 - 太极大道266号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多,2015,,,,,,,,,,6634.0,45,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1275525,花样年花样城(五期商住楼),工温江 - 金马镇 - 新村路392号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多,2015,,,,,,,,,,5250.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1211711,花沐里Q佳,工温江 - 温江城区 - 凤凰北大街669号 近地铁 近学校 4号线第一绕城第二绕城高速之间小户型居多,2005,,,,,,,,,,10129.0,5,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1302106,花涧坊东区,工温江 - 万春镇 - 永康路448号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2012,,,,,,,,,,8527.0,5,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_604361,花涧坊西区,工温江 - 温江城区 - 永康路419号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多配套齐全,2012,,,,,,,,,,8309.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_249446,花溪谷,工温江 - 光华大道 - 人和路333号 近地铁 近学校 4号线等第一绕城第二绕城高速之间大户型居多绿化好配套齐全,2009,,,,,,,,,,15206.0,14,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
